File Name,Valid Time Start,Valid Time End,Latitude Min,Latitude Max,Longitude Min,Longitude Max

2m_temperature_t0_s0_1733884071573.nc,2002-01-01,2003-12-31 23:00:00,80.0,85.0,0.0,20.0
2m_temperature_t0_s0_1733812079234.nc,2006-01-01,2007-12-31 23:00:00,80.0,85.0,-20.0,0.0
2m_temperature_t0_s0_1733901518463.nc,2008-01-01,2009-12-31 23:00:00,80.0,85.0,0.0,20.0
2m_temperature_t0_s0_1733904912705.nc,2010-01-01,2011-12-31 23:00:00,80.0,85.0,0.0,20.0
2m_temperature_t0_s0_1733815605840.nc,2008-01-01,2009-12-31 23:00:00,80.0,85.0,-20.0,0.0
2m_temperature_t0_s0_1733819365091.nc,2010-01-01,2011-12-31 23:00:00,80.0,85.0,-20.0,0.0
2m_temperature_t1_s0_1733635806997_mean.nc,2020-12-31,2020-12-31 00:00:00,0.0,10.0,5.0,15.0
2m_temperature_t0_s0_1733804562888.nc,2002-01-01,2003-12-31 23:00:00,80.0,85.0,-20.0,0.0
2m_temperature_t0_s0_1733928679667.nc,2018-01-01,2019-12-31 23:00:00,80.0,85.0,0.0,20.0
2m_temperature_t0_s0_1733892305227.nc,2004-01-01,2005-12-31 23:00:00,80.0,85.0,0.0,20.0
2m_temperature_t0_s0_1733808198155.nc,2004-01-01,2005-12-31 23:00:00,80.0,85.0,-20.0,0.0
2m_temperature_t0_s0_1733908799047.nc,2012-01-01,2013-12-31 23:00:00,80.0,85.0,0.0,20.0
2m_temperature_t0_s0_1733837449698.nc,2014-01-01,2015-12-31 23:00:00,80.0,85.0,-20.0,0.0
2m_temperature_t0_s0_1733770861799.nc,2015-01-01,2020-12-31 23:00:00,0.0,10.0,0.0,15.0
2m_temperature_t0_s0_1733865189564.nc,2018-01-01,2019-12-31 23:00:00,80.0,85.0,-20.0,0.0
2m_temperature_t0_s0_1733635806997.nc,2020-01-01,2020-12-31 23:00:00,0.0,10.0,5.0,15.0
2m_temperature_t0_s0_1733898114363.nc,2006-01-01,2007-12-31 23:00:00,80.0,85.0,0.0,20.0
2m_temperature_t0_s0_1733801032449.nc,2000-01-01,2001-12-31 23:00:00,80.0,85.0,-20.0,0.0
2m_temperature_t0_s0_1733869795586.nc,2020-01-01,2020-12-31 23:00:00,80.0,85.0,-20.0,0.0
2m_temperature_t0_s0_1733824848996.nc,2012-01-01,2013-12-31 23:00:00,80.0,85.0,-20.0,0.0
2m_temperature_t1_s0_1733635806997_min.nc,2020-12-31,2020-12-31 00:00:00,0.0,10.0,5.0,15.0
